// This file contains pets' characteristic values
// Caution: The limit for data lines is 256lines. Blank line is not allowed.
// Values are listed below.
// ----------------------------------------------------------------------------
// A = Pet number (= Sprite number)
// B = Normal Capture success rate (Percentage)
// C = Intimacy: Increase when fed
// D = Intimacy: decrease when fed after starved
// E = Intimacy: decrease every 20sec for starvation
// F = Intimacy: decrease when the master dies
// G = Hunger rate: Increase when fed
// H = Hunger rate: decrease every 60sec
// I = Special performance (Yes = 1, No = 0)
// J = Wearable accessories
// K = Food            
// L = Capture item      
// M = Egg item        
// ----------------------------------------------------------------------------------------------------------------
//A,     B,     C,  D,   E,  F,    G,   H,   I, J,       K,       L,         M
//-----------------------------------------------------------------------------------------------------------------
  1002,  20,	50, 100, 20, 20,   80,  3,   1, 10013,   531,     619,       9001
  1113,  15,	40, 100, 20, 20,   80,  4,   1, 10013,   508,     620,       9002
  1031,  10,	30, 100, 20, 20,   80,  5,   1, 10013,   511,     621,       9003
  1063,  15,	40, 100, 20, 20,   80,  4,   0, 10007,   534,     622,       9004
  1049,  20,	40, 100, 20, 20,   80,  4,   1, 10012,   507,     623,       9005
  1011,  15,	30, 100, 20, 20,   80,  6,   1, 10002,   537,     624,       9006
  1042,  10,	20, 100, 20, 20,   80,  5,   1, 10002,   1002,    625,       9007
  1035,   5,    10, 100, 20, 20,   80,  5,   1, 10002,   716,     626,       9008
  1167,  15,	40, 100, 20, 20,   80,  7,   0, 10015,   537,     627,       9009
  1107,  10,	40, 100, 20, 20,   80,  6,   0, 10003,   537,     628,       9010
  1052,  15, 	30, 100, 20, 20,   80,  1,   0, 10014,   537,     629,       9011
  1014,  15, 	30, 100, 20, 20,   80,  3,   0, 10017,   537,     630,       9012
  1077,  10, 	20, 100, 20, 20,   80,  3,   0, 10017,   537,     631,       9013
  1019,  10, 	30, 100, 20, 20,   80,  4,   1, 10010,   537,     632,       9014
  1056,  10, 	30, 100, 20, 20,   80,  4,   1, 10019,   537,     633,       9015
  1057,  10,	20, 100, 20, 20,   80,  5,   1, 10018,   532,     634,       9016
  1023,  5,	20, 100, 20, 20,   80,  5,   1, 10009,   537,     635,       9017
  1026,  5,	20, 100, 20, 20,   80,  3,   0, 10008,   537,     636,       9018
  1110,  5,	20, 100, 20, 20,   80,  4,   0, 10005,   537,     637,       9019
  1170,  5, 	10, 100, 20, 20,   80,  3,   0, 10016,   537,     638,       9020
  1029,  5,	10, 100, 20, 20,   80,  3,   0, 10006,   537,     639,       9021
  1155,  5,	20, 100, 20, 20,   80,  4,   0, 10011,   537,     640,       9022
  1109,  5,	10, 100, 20, 20,   80,  2,   0, 10004,   711,     641,       9023
  1101,  2,	10, 100, 20, 20,   80,  2,   0, 10001,   518,     642,       9024
  1188,  5,     30, 100, 20, 20,   80,  4,   1, 10020,   537,     659,       9025
  1200,  3, 	10, 100, 20, 20,   80,  7,   0, 0,	 929,	  660,	     9026
  1275,	 8,	20, 100, 20, 20,   80,  2,   0, 0,	 504,     661,	     9027
//추가

1879,  20,	50, 100, 20, 20,   80,  3,   0, 0,	 7766,    0,         9031
1123,  8,	50, 100, 20, 20,   80,  3,   0, 0,	 7821,    14570,     9033
1125,  8,	50, 100, 20, 20,   80,  3,   0, 0,	 7821,    14571,     9034
1385,  8,	20, 100, 20, 20,   80,  4,   0, 0,	 7822,    14572,     9035
1382,  8,	10, 100, 20, 20,   80,  2,   0, 0,	 7823,    14573,     9036
1208,  8,	20, 100, 20, 20,   80,  2,   0, 0,	 7824,    14574,     9037


//--------------------EP12추가내용---------------------------------
1963,  8,	30, 100, 20, 20,   80,  3,   0, 0,	 554,     0,         9038		
//EP13 수정

1815,  20,	50, 100, 20, 20,   80,  3,   1, 0,	 511,     12340,     9028

2210,  0, 	10, 100, 20, 20,   80,  3,   1, 0,	529,	0,	9058

//EP13.2 변경 부분

  1519,  20,	50, 100, 20, 20,   80,  3,   0, 0,	 6115,    12395,     9030

//EP13.2 추가 부분

  1630, 3, 10, 100, 20, 20, 80, 7, 0, 10021, 6094, 12357, 9039
